"codfunc","func","codcliente","cliente","codfilial","filial","codfornec","fornecedor","codprod","produto","numnota","qtd","vlrbonus","vlrunitario","datasaida"
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,224539,COLGATE-PALMOLIVE COMERCIAL LTDA (ORAL),15891,CD COLGATE MPA.12X50G*,2315320,1,0,4.73,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,2527,LR NORDESTE S/A,6646,DES LEITE DE ROSAS 100ML MED,2315320,3,0,1.88,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,39,LABORATORIO MADREVITA LTDA,6555,ASEPTOL LIQ 90ML,2315320,3,0,2.35,2022-02-04 00:00:00.000
607,Func 10,1804,Cliente 21,1,COML.SAARA LTDA. HBL,223170,UNILEVER BRASIL LTDA (SABONETE),100098,SAB DOVE 12X90G EQUILIBRIO OLEOSIDADE,2315323,1,0,5.87,2022-02-04 00:00:00.000
607,Func 10,1804,Cliente 21,1,COML.SAARA LTDA. HBL,223170,UNILEVER BRASIL LTDA (SABONETE),100108,SAB DOVE 12X90G RITUAL ENERGIZANTE,2315323,1,0,5.87,2022-02-04 00:00:00.000
607,Func 10,1804,Cliente 21,1,COML.SAARA LTDA. HBL,224070,QUIMICA AMPARO LTDA-SP (YPE SAB),99119,SAB YPE 12X85G SV AGUA ROSAS E AVELA AZ,2315323,1,0,3.61,2022-02-04 00:00:00.000
607,Func 10,1804,Cliente 21,1,COML.SAARA LTDA. HBL,224070,QUIMICA AMPARO LTDA-SP (YPE SAB),99117,SAB YPE 12X85G SV LARANJA E DAMASCO AM,2315323,1,0,3.61,2022-02-04 00:00:00.000
607,Func 10,1804,Cliente 21,1,COML.SAARA LTDA. HBL,227425,BASTON INDUSTRIA DE AEROSSOIS LTDA - HP,96809,DA ABOVE 150ML FEM SOFT CREME,2315323,12,0,2.24,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,2371,UNILEVER BRASIL LTDA (DEO),66364,DR REXONA 30ML CPT FEM POWDER,2315320,6,0,2.12,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,2527,LR NORDESTE S/A,6658,DES LEITE DE ROSAS 170ML GRD,2315382,3,0,2.25,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,471,LOREAL BRASIL COML COSMET LTDA-(CABELOS),97763,CO ELSEVE 200ML LISO DOS SONHOS,2315320,2,0,3.12,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,226243,CIMEX DITRIBUIDORA DE COSMETICOS LTDA,86590,TINT LIGHT COLOR CHOC 6.7,2315320,2,0,3.28,2022-02-04 00:00:00.000
607,Func 10,1804,Cliente 21,1,COML.SAARA LTDA. HBL,227425,BASTON INDUSTRIA DE AEROSSOIS LTDA - HP,96805,DA ABOVE 150ML FEM FRESH,2315323,12,0,2.24,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,128,PROCTER & GAMBLE DO BRASIL S/A. (ABS PREMIO),84672,ABS ALWAYS NOT TRANQ 8UND SEC C/ABA,2315320,3,0,2.44,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,226228,FALCON DISTRIBUICAO ARMAZ E TRANST S/A (SAPEKA),86506,FDA SAPEKA REG XG 6UND,2315320,2,0,2.21,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,2710,PROCTER & GAMBLE HIG E COSM LTDA (C.D),97336,CD ORAL-B EXTRA 70G L12P10 BRANCO,2315320,1,0,5.18,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,2527,LR NORDESTE S/A,6634,DES LEITE DE ROSAS 60ML PEQ,2315320,3,0,1.55,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,85,UNILEVER BRASIL LTDA ( CABELOS ),74204,SH CLEAR 200ML MEN FRESH COOL MENTHOL,2315382,2,0,3.56,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,2413,JOHNSON&JOHNSON COM.E DIST.LTDA-FEMININA,917035,P.DIARIO CAREFREE 15UND NEUTRAL S/PERF,2315382,3,0,2.11,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,2371,UNILEVER BRASIL LTDA (DEO),87380,DA REXONA 90G FEM ACTIVE EMOTION,2315382,2,0,3.06,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,2371,UNILEVER BRASIL LTDA (DEO),80987,DA REXONA 90G MEN ACTIVE,2315382,4,0,3.06,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,471,LOREAL BRASIL COML COSMET LTDA-(CABELOS),65235,CP ELSEVE 250ML RT5+,2315382,2,0,2.92,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,3144,PROCTER & GAMBLE IND COM. LTDA(GIL DESC),98363,APB PRESTO2 MEN U.GRIP AZ 24UND,2315382,1,0,7.47,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,226073,PROCTER & GAMBLE DO BRASIL S/A.(ABS BAS),90701,ABS ALWAYS BAS 18X8UND SEC C/ABA,2315382,1,0,6.84,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,2570,CLESS COMERCIO DE COSMETICOS SA,58247,TINT BIGEN 47 CAST.MEDIO 4.0,2315382,2,0,2.88,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,224539,COLGATE-PALMOLIVE COMERCIAL LTDA (ORAL),33820,CD COLGATE T.ACAO 12X90G*,2315382,1,0,5.97,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,223170,UNILEVER BRASIL LTDA (SABONETE),97788,SAB LIQ LUX 250ML BOT.CAPIM LIMAO/FRANGI,2315382,2,0,2.59,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,222401,COLGATE-PALMOLIVE COMERCIAL LTDA (PELE),94177,SAB PROTEX 12X85G MEN 3EM1,2315382,1,0,5.38,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,85,UNILEVER BRASIL LTDA ( CABELOS ),61355,SH CLEAR 200ML MEN LIMP DIARIA 2EM1,2315382,2,0,3.56,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,2413,JOHNSON&JOHNSON COM.E DIST.LTDA-FEMININA,54124,P.DIARIO CAREFREE 40UND ORIG C/PERF,2315382,3,0,2.94,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,2371,UNILEVER BRASIL LTDA (DEO),65393,DR DOVE 50ML FEM REGULAR AZ,2315382,2,0,2.76,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,225908,INDUSTRIA DE ARTEF.BORR INOVATEX LDTA,86233,PRESERV RILEX 3UND ESPERMICIDA,2315382,6,0,1.22,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,222465,LOLLY BABY PROD. INFANTIS LTDA,100007,ASPIRADOR NASAL LOLLY 2EM1 AZ 717001,2315382,1,0,2.71,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,891,PONTELAND DISTRIBUICAO S/A,56275,SAB INF LIQ GRANADO 250ML BEBE GLIC TRAD,2315382,2,0,3.96,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,222401,COLGATE-PALMOLIVE COMERCIAL LTDA (PELE),27856,SAB LIQ PROTEX 250ML CREAM*,2315382,2,0,3.26,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,2413,JOHNSON&JOHNSON COM.E DIST.LTDA-FEMININA,72827,ABS INTERNO O.B L10P8 MED,2315382,4,0,2.56,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,2371,UNILEVER BRASIL LTDA (DEO),80992,DA REXONA 90G MEN V8,2315382,4,0,3.06,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,2371,UNILEVER BRASIL LTDA (DEO),65207,DR REXONA 50ML MEN V8,2315382,2,0,2.51,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,225908,INDUSTRIA DE ARTEF.BORR INOVATEX LDTA,88423,PRESERV RILEX 3UND EXTRA LARGO,2315382,6,0,1.59,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,222465,LOLLY BABY PROD. INFANTIS LTDA,86388,KIT LOLLY ESC+PENTE OCEANO BL AZ 705401,2315382,1,0,3.34,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,225543,HIGIE TOPP IND.COM.PROD.HID TEXTEIS LTDA,84214,LC UMD COTTON LINE 400UND BALDE AZ,2315382,1,0,3.99,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,2570,CLESS COMERCIO DE COSMETICOS SA,58250,TINT BIGEN 58 PRETO NATURAL 1.01,2315382,2,0,2.88,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,85,UNILEVER BRASIL LTDA ( CABELOS ),77366,SH CLEAR 200ML CONT COCEIRA,2315382,2,0,3.56,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,128,PROCTER & GAMBLE DO BRASIL S/A. (ABS PREMIO),84672,ABS ALWAYS NOT TRANQ 8UND SEC C/ABA,2315382,6,0,2.42,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,226350,COTY BRASIL COMERCIO LTDA - DEO,88147,DA MONANGE 150ML INVISIVEL,2315382,2,0,2.38,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,471,LOREAL BRASIL COML COSMET LTDA-(CABELOS),86900,SH ELSEVE 200ML A.CASPA HYDRA DETOX,2315382,2,0,3.24,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,227106,DALPRIZE COSMETICOS EIRELI,7237,TALCO INF FLORA NENEN 180G,2315382,3,0,2.68,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,224539,COLGATE-PALMOLIVE COMERCIAL LTDA (ORAL),16792,CD COLGATE TOT12 12X90G CLEAN MINT*,2315382,1,0,8.89,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,223170,UNILEVER BRASIL LTDA (SABONETE),91026,SAB LIQ LUX 250ML BOT.BUQUE JASMIM,2315382,2,0,2.59,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,222401,COLGATE-PALMOLIVE COMERCIAL LTDA (PELE),94178,SAB PROTEX 12X85G MEN SPORT,2315382,1,0,5.38,2022-02-04 00:00:00.000
1254,Func 5,11745,Cliente 5,1,COML.SAARA LTDA. HBL,10,CIGEL DISTRIBUIDORA DE COSMETICOS LTDA - CAP,62456,REP.PONTA ALYNE 30ML SILICONE,2315382,3,0,2.47,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,5,SOBRAL PRODUTORA DE ART.TEX.IND.COM.LTDA,17360,ALGODAO FLOC M.USO SANF 40X25G,2315331,1,11,6.00,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,225543,HIGIE TOPP IND.COM.PROD.HID TEXTEIS LTDA,84218,HF COTTON LINE 75UND,2315331,12,11,1.15,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,226243,CIMEX DITRIBUIDORA DE COSMETICOS LTDA,96956,CO INF S.LINE 300ML M.LISINHO KIDS,2315331,2,11,3.26,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,226228,FALCON DISTRIBUICAO ARMAZ E TRANST S/A (SAPEKA),91581,FDA SAPEKA PRATICO G 16UND,2315331,8,11,3.44,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,5,SAARA PERFUM,12802,PROCTER & GAMBLE DO BRASIL S/A(PANTENE),97821,CO PANTENE 150ML BAMBU,1223888,2,0,3.34,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,5,SAARA PERFUM,524,PROCTER & GAMBLE HIG COM. LTDA(FDA S.SEC),95657,FDA PAMPERS S/SEC REG G 8UND,1223888,4,0,2.94,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,5,SAARA PERFUM,128,PROCTER & GAMBLE DO BRASIL S/A. (ABS PREMIO),84672,ABS ALWAYS NOT TRANQ 8UND SEC C/ABA,1223888,6,0,2.43,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,226350,COTY BRASIL COMERCIO LTDA - DEO,88147,DA MONANGE 150ML INVISIVEL,2315331,24,11,2.38,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,226243,CIMEX DITRIBUIDORA DE COSMETICOS LTDA,86056,ATIVADOR S.LINE 300ML SOS CACH NUT,2315331,2,11,2.96,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,224543,LOREAL BRASIL COML COSMET LTDA- NIELY CAP,90745,KIT NIELY GOLD 300+200ML(SH+CO)COMP+FORT,2315331,2,11,3.26,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,2371,UNILEVER BRASIL LTDA (DEO),88576,DA SUAVE 87G FEM INVISIBLE,2315331,6,11,2.45,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,226350,COTY BRASIL COMERCIO LTDA - DEO,98534,DA MONANGE 150ML PROTECAO SECA,2315331,0,11,0.00,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,5,SAARA PERFUM,2710,PROCTER & GAMBLE HIG E COSM LTDA (C.D),90858,CD ORAL-B 3D WHIT 90G GLAMOROUS,1223888,6,0,2.63,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,226350,COTY BRASIL COMERCIO LTDA - DEO,94243,DA MONANGE 150ML HID INTENSA,2315331,24,11,2.38,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,226243,CIMEX DITRIBUIDORA DE COSMETICOS LTDA,86066,SH S.LINE 300ML SOS BOMBA ORIGINAL,2315331,2,11,3.37,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,226243,CIMEX DITRIBUIDORA DE COSMETICOS LTDA,99601,KIT S.LINE 200ML(SH+CO)BOMBA ANTIQUEDA,2315331,2,11,3.68,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,5,SOBRAL PRODUTORA DE ART.TEX.IND.COM.LTDA,80717,HF FLOCONETES 75UND,2315331,12,11,1.03,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,226243,CIMEX DITRIBUIDORA DE COSMETICOS LTDA,88919,ATIVADOR INF S.LINE 300ML T.CACH MOL KID,2315331,2,11,3.37,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,5,SAARA PERFUM,226073,PROCTER & GAMBLE DO BRASIL S/A.(ABS BAS),90687,ABS ALWAYS BAS 16UND SEC C/ABA,1223888,6,0,2.14,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,5,SAARA PERFUM,222723,PROCTER & GAMBLE IND COM. LTDA(ED/ENX/F),93485,ED ORAL-B PRO MD,1223888,12,0,1.45,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,2371,UNILEVER BRASIL LTDA (DEO),88577,DA SUAVE 87G FEM FRUTAS VERMELHAS LIC,2315331,6,11,2.45,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,226073,PROCTER & GAMBLE DO BRASIL S/A.(ABS BAS),90687,ABS ALWAYS BAS 16UND SEC C/ABA,2315331,6,11,2.13,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,226350,COTY BRASIL COMERCIO LTDA - DEO,95133,DA MONANGE 150ML FLOR LAV,2315331,12,11,2.38,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,226243,CIMEX DITRIBUIDORA DE COSMETICOS LTDA,87022,CP S.LINE 300ML SOS BOMBA ORIGINAL,2315331,2,11,3.18,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,226343,COTY BRASIL COMERCIO LTDA - CAPILAR (MATRIZ),97466,GEL FIX NY.LOOKS 240G MED.FIX BCO FAT1,2315331,2,11,2.41,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,2430,UNILEVER BRASIL LTDA ( ORAL ),95107,CD CLOSE UP GEL LIQ FRESH 100G RED HOT,2315331,3,11,2.02,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,1,COML.SAARA LTDA. HBL,226243,CIMEX DITRIBUIDORA DE COSMETICOS LTDA,96980,SH INF S.LINE 300ML M.LISINHO KIDS,2315331,2,11,3.10,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,5,SAARA PERFUM,50,PROCTER & GAMBLE IND E COML LTDA(AMAC),96678,AMAC DOWNY REF 400ML BRISA VERAO AZ,1223888,12,0,2.63,2022-02-04 00:00:00.000
1972,Func 2,89916,Cliente 46,5,SAARA PERFUM,222723,PROCTER & GAMBLE IND COM. LTDA(ED/ENX/F),90693,ED ORAL-B 1.2.3 35 MC L3P2,1223888,12,0,2.63,2022-02-04 00:00:00.000
4224,Func 3,78428,Cliente 9,1,COML.SAARA LTDA. HBL,2371,UNILEVER BRASIL LTDA (DEO),90080,DR REXONA 30ML CPT FEM BAMBOO/A.VERA,2315333,6,0,2.12,2022-02-04 00:00:00.000
4224,Func 3,78428,Cliente 9,1,COML.SAARA LTDA. HBL,2371,UNILEVER BRASIL LTDA (DEO),65939,DR REXONA 50ML FEM POWDER,2315333,2,0,2.54,2022-02-04 00:00:00.000
4224,Func 3,78428,Cliente 9,1,COML.SAARA LTDA. HBL,2371,UNILEVER BRASIL LTDA (DEO),88579,DA SUAVE 87G FEM LAVANDA/ERVA DOCE,2315333,6,0,2.47,2022-02-04 00:00:00.000
4224,Func 3,78428,Cliente 9,1,COML.SAARA LTDA. HBL,226350,COTY BRASIL COMERCIO LTDA - DEO,93992,DA MONANGE 150ML FRUTAS VERM,2315333,2,0,2.40,2022-02-04 00:00:00.000
4224,Func 3,39032,Cliente 32,1,COML.SAARA LTDA. HBL,224539,COLGATE-PALMOLIVE COMERCIAL LTDA (ORAL),15891,CD COLGATE MPA.12X50G*,2315380,1,0,4.71,2022-02-04 00:00:00.000
4224,Func 3,74273,Cliente 37,1,COML.SAARA LTDA. HBL,349,GFG COSMETICOS LTDA,95345,KIT ST.HAIR 250ML (SH+CO)ANTIQ E REPAR,2315330,4,0,2.76,2022-02-04 00:00:00.000
4224,Func 3,74273,Cliente 37,1,COML.SAARA LTDA. HBL,349,GFG COSMETICOS LTDA,95344,KIT ST.HAIR 250ML (SH+CO)NUT E BRILHO,2315330,4,0,2.76,2022-02-04 00:00:00.000
4224,Func 3,39032,Cliente 32,1,COML.SAARA LTDA. HBL,2371,UNILEVER BRASIL LTDA (DEO),87383,DA REXONA 90G FEM POWDER,2315380,6,0,3.06,2022-02-04 00:00:00.000
4224,Func 3,39032,Cliente 32,1,COML.SAARA LTDA. HBL,223170,UNILEVER BRASIL LTDA (SABONETE),91026,SAB LIQ LUX 250ML BOT.BUQUE JASMIM,2315380,4,0,2.59,2022-02-04 00:00:00.000
4224,Func 3,39032,Cliente 32,1,COML.SAARA LTDA. HBL,223170,UNILEVER BRASIL LTDA (SABONETE),91025,SAB LIQ LUX 250ML BOT.ROSAS FRANCESA,2315380,4,0,2.59,2022-02-04 00:00:00.000
4224,Func 3,39032,Cliente 32,1,COML.SAARA LTDA. HBL,226348,COTY BRASIL COMERCIO LTDA - PELE-YORK-SUN,55901,HID PAIXAO 200ML RADIANTE AM,2315380,4,0,2.30,2022-02-04 00:00:00.000
4224,Func 3,74273,Cliente 37,1,COML.SAARA LTDA. HBL,223385,GFG COSMETICOS LTDA - INFANTIL,54476,DEO COL INF MURIEL 100ML BABY RS,2315330,4,0,2.98,2022-02-04 00:00:00.000
4224,Func 3,74273,Cliente 37,1,COML.SAARA LTDA. HBL,226268,FALCON DISTRIBUICAO ARMAZ E TRANST S/A (POMPOM),79960,SAB INF POMPOM 12X80G AMENDOA,2315330,1,0,4.72,2022-02-04 00:00:00.000
